Name,Area,Rating,Address,Delivery Time,Cuisine,Cost for Two(2)
SRI MARUTHI GOWDAS MILITARY HOTEL,Majestic,20+ ratings,"No.266, Subhedhar Chatram Road, 2nd Cross, Gandhi Nagar, B.B.M.P North, Karnataka",43,"['South Indian', 'Indian', 'Biryani']",₹150 FOR TWO
Dice N Dine,Koramangala,500+ ratings,"71/72, Elite Building , Koramangala 5th Block , jyothi nivas college road , (Below INDIGO XO)",55,"['American', 'Snacks', 'Turkish', 'Portuguese', 'Continental']",₹500 FOR TWO
Chowman,Indiranagar,1000+ ratings,"No 201, GROUND FLOOR DOUBLE ROAD,INDIRANAGAR BANGALORE, Shanthinagara, B.B.M.P East, Karnataka-560038",43,"['Asian', 'Chinese', 'Pan-Asian', 'Oriental', 'Thai']",₹800 FOR TWO
Ninhao Asian Kitchen,Koramangala,100+ ratings,"No :70/1, 4a, 4th cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore - 560095",53,"['Pan-Asian', 'Chinese', 'Indian', 'Thai']",₹300 FOR TWO
CHURMUR CHAAT CO,"Ashok Nagar, Lavelle Road",100+ ratings,"#70 1st main, Raja Ram Mohan Roy Road. Sampangi Rama Nagar, Bengaluru, Karnataka 560027",39,"['Chaat', 'Snacks', 'Healthy Food']",₹200 FOR TWO
Cane Fresh,Pulikeshi Nagar,100+ ratings,"97 /98, Coles Road, Frazer Town, Opposite to Velocity Bike showroom,Next to Vision Express. Bangalore 560005. ",43,"['Indian', 'Beverages', 'Desserts']",₹50 FOR TWO
Punjabi Chaap Corner,Indiranagar,100+ ratings,"No. 2023/A, HAL second stage, Indiranagar, Bangalore, pincode 560038",49,"['Indian', 'North Indian', 'Punjabi', 'Tandoor']",₹350 FOR TWO
Burger It Up,Koramangala,50+ ratings,"#11, 3rd floor, 5th Cross Rd, KHB Colony, 6th Block, Koramangala, Bengaluru, Karnataka",49,"['American', 'Fast Food', 'Continental', 'Beverages', 'Desserts']",₹150 FOR TWO
Jagannath Food Corner,S.G. Palya,100+ ratings,"64, 5TH CROSS, BOVI COLONY, THAVEREKERE MAIN ROAD, BANGALORE=560029",47,['North Indian'],₹250 FOR TWO
Behrouz Biryani,Shantinagar,100+ ratings,"KMK Towers, 1st floor, WEST PORTION, 142 K H ROAD, above Tata Motors, Shanthinagar, Bangalore South, bangalore, 560027",48,"['Biryani', 'Mughlai', 'Lucknowi', 'Hyderabadi', 'Kebabs', 'North Indian', 'Persian', 'Desserts']",₹500 FOR TWO
Karavali Family Restaurant,Ashok Nagar,100+ ratings,"136, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",39,"['Mangalorean', 'Seafood', 'Chinese', 'Coastal']",₹200 FOR TWO
Rolls On Wheels,Domlur,500+ ratings,"#3145,Hal 2nd stage,Near ESI Hospital",41,['Snacks'],₹300 FOR TWO
Delicacy,Pulikeshi Nagar,500+ ratings,"#36,Kenchappa Road, Frazer Town, ops Cafe Idly, Bangalore 05",52,"['Chinese', 'Thai']",₹400 FOR TWO
UBQ by Barbeque Nation,Domlur,100+ ratings,"4005 100 Feet Road, Hal Stage Ii Indiranagar, Bangalore, Karnataka 560038.",45,"['North Indian', 'Mughlai', 'Seafood', 'Biryani', 'Desserts', 'Kebabs']",₹300 FOR TWO
Suryawanshi,Domlur,100+ ratings,"3155, Srinivasan Tower, Double Road, Indiranagar",47,"['Maharashtrian', 'Seafood']",₹600 FOR TWO
Big Biriyani Company,Richmond Town,Too Few Ratings,"MAH QUDDUS,4th floor,No 2,AGA Abdullah street,Richmond Street,Johnson Market,Banglore:560025",43,"['Biryani', 'Mughlai']",₹350 FOR TWO
